ДЗО ПАО Россети;филиал ДЗО ПАО Россети;Наименование ПС;Класс напряжения, кВ;Локация (Широта, Долгота);Основание применения;Архитектура построения ПС;Дата ввода в эксплуатацию;Стадия реализации;Основные технические решения;Производитель РЗА
"Россети ""Волга""";Саратовские РС;"ПС 110 кВ ""Сазанлей""";110;52.003900, 47.811900;Реконструкция;III;2021;Введена в работу;-;"ООО НПП ""ЭКРА"""
"Россети ""Волга""";Оренбургэнерго;"ПС 110 кВ ""Юго-Восточная""";110;51.784400, 55.166900;Реконструкция;III;;СМР;-;"ООО НПП ""ЭКРА"""
"Россети ""Сибирь""";Красноярскэнерго;"ПС 110/10 кВ ""Молодежная""";110;56.017455, 92.877061;Реконструкция;III;2019;Введена в работу;"Шкаф серверный АСУТП - 1 шт.; Шкаф сетевых коммутаторов -2 шт.; Шкаф телекоммуникационный - 1 шт.";"ООО НПП ""ЭКРА"", ООО НПП ""Бреслер"""
"Россети ""Сибирь""";Красноярскэнерго;"ПС 110/10 кВ ""Имени Сморгунова""";110;56.053130, 92.829562;Строительство;III;2019;Введена в работу;"Шкаф серверный АСУТП/РЗА - 2 шт.; Шкаф телекоммуникационный - 2 шт.";"ООО ""ЛИСИС"", ООО НПП ""ЭКРА"""
"Россети ""Сибирь""";Красноярскэнерго;"ПС 110/10 кВ ""Юбилейная""";110;54.886383, 71.293395;Реконструкция;II;2018;Введена в работу;Шкаф серверный ССПИ - 1 шт., шкаф телекоммуникационный - 1 шт.;"ООО НПП ""ЭКРА"", ООО НПП ""Бреслер"", АО ""РАДИУС Автоматика"""
"Россети ""Сибирь""";Красноярскэнерго;"ПС 35/10 кВ ""Элита""";35;56.085304, 92.581901;Реконструкция;II;2021;Введена в работу;Шкаф серверный ССПИ - 1 шт., шкаф телекоммуникационный - 1 шт.;"ООО НПП ""Бреслер"""
"Россети ""Сибирь""";АО Тываэнерго;"ПС 35/10 ""Каа-Хем""";35;51.680818, 94.602950;Строительство;II;2020;Введена в работу;"Шкаф серверный АСУ ТП - 2 шт.; Шкаф телекоммуникационны
й АСУ ТП-1 шт.; Контроллер АСУ ТП (В ячейках) - 20 шт.";"ООО НПП ""ЭКРА"""
"Россети ""Сибирь""";Кузбассэнерго-РЭС;"ПС 110 кВ ""Бызовская""";110;53.869333, 87.200750;Реконструкция;II;2021;Введена в работу;Шкаф телемеханики и телеизмерений - 1 шт., Шкаф сетевых коммутаторов - 1 шт., Шкаф связи - 1 шт., Шкаф защит тр-ра - 2 шт, ШЦС - 1 шт;"ООО НПП ""Бреслер"""
"Россети ""Сибирь""";Кузбассэнерго-РЭС;"ПС 110 кВ ""Бенжереп-2""";110;53.270883, 86.929866;Реконструкция;III;2021;Введена в работу;Шкаф серверов - 1 шт., Шкаф контроллеров присоединений - 1 шт., Шкаф сетевых коммутаторов - 3 шт., Шкаф связи - 1 шт., Шкаф анализатора сети - 1 шт., Шкаф СГП-1 шт., Шкаф системы мониторинга и диагностики силового тр-ра - 2 шт., Контроллер присоединения в яч. 10 кВ - 11 шт.,;"ООО НПП ""ЭКРА"""
"Россети ""Сибирь""";Омскэнерго;"ПС 110/10 кВ ""Весенняя""";110;54.982063, 73.267875;Строительство;II;2010;Введена в работу;ШкафАСУ ТП : FULL - сервер, DIP-сервер;Siemens
"Россети ""Сибирь""";Омскэнерго;"ПС 110/10 кВ ""Прибрежная""";110;54.992166, 73.320244;Строительство;II;2014;Введена в работу;ШкафАСУ ТП : FULL -сервер, DIP-сервер;Siemens
"Россети ""Томск""";-;"ПС 35 кВ ""Аэропорт""";35;56.411748, 85.224665;Реконструкция;III;;ПИР;PRP;"ООО ""Релематика"""
"Россети ""Московский регион""";"Северные 
электрические сети";"ПС 35 кВ ""Бабайки""";35;56.405800, 36.886900;Реконструкция;III;2013;Введена в работу;;Siemens
"Россети ""Московский регион""";"Северные 
электрические сети";"ПС 110 кВ ""Клин""";110;56.324100, 36.759900;Реконструкция;III;2018;Введена в работу;;NR Electric Co.,Ltd
"Россети ""Московский регион""";"Московские 
высоковольтные сети";"ПС 110 кВ ""Медведевская""";110;55.711300, 37.375400;Строительство;III;2019;Введена в работу;;"ООО НПП ""ЭКРА"""
"Россети ""Урал""";Пермэнерго;"ПП 110 кВ ""Союз""";110;59.339363, 57.243078;Строительство;III;2020;Введена в работу;;"ООО НПП ""ЭКРА"""
"Россети ""Урал""";Свердловэнерго;"ПС 110 кВ ""Кемпинг""";110;57.013651, 60.554485;Строительство;II;2020;Введена в работу;отпаечная подстанция, 2х10 МВА трансформатора, КРУН 2С 10 кВ.Защиты трансформатора на МП РЗА, защита отходящих присоендинений на МП РЗА, АЧР на МП РЗА;"ООО НПП ""ЭКРА"""
"Россети ""Центр""";Белгородэнерго;"ПС 35 кВ ""Никольское""";35;50.440445, 36.564695;Реконструкция;III;2019;Введена в работу;"Схема ОРУ 35 кВ – 
№35-5АН, 
трансформаторы тока 
и напряжения 
электромагнитные; 
Схема РУ 10 кВ – 10-1 
, трансформаторы тока 
и напряжения 
электромагнитные. 
Обмен дискретными 
сигналами между 
интеллектуальными 
электронными 
устройствами на всех 
присоединениях 10-35 
кВ осуществляется с 
помощью GOOSE и 
MMS сообщений.
Оцифровка и передача 
мгновенных значений 
токов и напряжений 
выполнена в";"ООО НПП ""ЭКРА"", АО ""РАДИУС Автоматика"""
"Россети ""Центр""";Белгородэнерго;"ПС 110 кВ ""Строитель""";110;50.791480, 36.474222;Реконструкция;III;2023;ПИР;"соответствии с
Схема первичных 
соединений ОРУ 110 
кВ проектируемой 
подстанции 
сохраняется 
существующей - два 
блока с 
выключателями в цепи 
трансформаторов и 
неавтоматической 
перемычкой со 
стороны линий- 
№110-4Н";"ООО НПП ""ЭКРА"""
"Россети ""Центр""";Белгородэнерго;"ПС 110 кВ ""Бирюч""";110;50.649173, 38.400265;Строительство;II;2022;ПИР;"Схема первичных 
соединений ОРУ 110 
кВ - № 110-3Н, с
учетом перспективы 
на схему № 110-5АН; 
ЗРУ-10 кВ - №10-1 с
учетом перспективы 
на схему №10-2";"ООО НПП ""ЭКРА"""
"Россети ""Центр и Приволжье""";Владимирэнерго;"ПС 110 кВ ""Доброград""";110;56.229276, 41.299355;Строительство;III;2023;ПИР;"Применение ЦТТ 110 
кВ, ПАС (ТН 110 кВ), 
ПДС; шина процесса, 
организация 
взаимодействия между 
ИЭУ с применением 
GOOSE; 
информационный 
обмен с верхним 
уровнем с 
применением MMS";"ООО ""Релематика"""
"Россети ""Центр""";Воронежэнерго;"ПС 110 кВ ""Спутник""";110;54.584909, 36.302819;Строительство;III;2020;Введена в работу;"Строительство ПС 
110кВ Спутник с 
применением ячеек 
КРУЭ-110. 
Техническое 
перевооружение всех 
устройств РЗА 
присоединений 110, 10 
кВ с использованием 
микропроцессорных 
устройств, 
поддерживающих 
передачу информации 
по протоколам 
Sampled 
Values/GOOSE/MMS 
стандарта МЭК 61850 
и возможность PRP 
резервирования и 
системой единого 
времени МП устройств 
РЗА на объекте";"ООО НПП ""ЭКРА"", НТЦ ""Механотроника проектирования"""
"Россети ""Центр""";Воронежэнерго;"ПС 35 кВ ""Митрофановка""";35;49.973840, 39.716300;Реконструкция;II;2021;Введена в работу;"Применение ПДС; 
организация 
взаимодействия между 
ИЭУ с применением 
GOOSE, MMS; 
информационный 
обмен с верхним 
уровнем с 
применением MMS";"ООО НПП ""ЭКРА"", НТЦ ""Механотроника проектирования"""
"Россети ""Центр""";Воронежэнерго;"РП ""Дубрава""";10;55.980447, 37.618126;Строительство;II;2021;Введена в работу;"Применение ПДС; 
организация 
взаимодействия между 
ИЭУ с применением 
GOOSE, MMS; 
информационный 
обмен с верхним 
уровнем с 
применением MMS";"ООО НПП ""ЭКРА"", НТЦ ""Механотроника проектирования"""
"Россети ""Центр и Приволжье""";Калугаэнерго;"ПС 110/10 кВ ""Михали""";110;55.201088, 35.438204;Строительство;III;2020;Введена в работу;"Применение ПАС, 
ПДС; организация SV 
потоков (протокол 
МЭК 61850-9-2), 
организация 
взаимодействия между 
ИЭУ с применением 
GOOSE; 
информационный 
обмен с верхним 
уровнем с 
применением MMS 
(протокол МЭК 61850-
8-1) .";"ООО НПП ""ЭКРА"""
"Россети ""Центр и Приволжье""";Калугаэнерго;"ПС 110/10 кВ ""Университет""";110;54.475939, 36.307319;Строительство;II;2020;Введена в работу;"Применение ПДС; 
организация 
взаимодействия между 
ИЭУ с применением 
GOOSE; 
информационный 
обмен с верхним 
уровнем с 
применением MMS";"ООО НПП ""ЭКРА"""
"Россети ""Центр и Приволжье""";Кировэнерго;"ПС 35 кВ ""Гирсово""";35;58.725286, 49.548750;Реконструкция;II;2027;ПИР;"первичная схема 35-5Н 
“Мостик с 
выключателями в 
цепях линий”, ЗРУ 35 
кВ, ЗРУ 10 кВ, ОПУ, 
ЩПТ, ЩСН, ОБР, 
взаимодействия между 
ИЭУ с применением 
GOOSE, передача 
аналоговых сигналов 
по контрольному 
кабелю, создание АСУ 
ТП (подстанционный 
уровень, уровень 
присоединения, 
полевой уровень), 
шина станции (MMS), 
шина процесса 
(GOOSE), АСУ ТП";"ООО НПП ""ЭКРА"", ООО НПП ""ПРОЭЛ"""
"Россети ""Центр""";Костромаэнерго;"ПС 110/35/10/6 кВ ""Нерехта-1""";110;57.447890, 40.538996;Реконструкция;III;2024;СМР;"Применение ПАС, 
ПДС; организация 
взаимодействия между 
ИЭУ с применением 
GOOSE, SV; 
информационный 
обмен с верхним 
уровнем с 
применением MMS";"ООО НПП ""ЭКРА"", АО ""РАДИУС Автоматика"""
